original_file,new_location,type,joinable_guess,ocr_quality_guess,text_characters_extracted
EXIT-PLAN-aka-THE-TOMB-by-Miles-Chapman_-rev-by-Jason-Keller-Miles-Chapman-2009-01-06.pdf,./sorted_output/Selectable/Joinable/EXIT-PLAN-aka-THE-TOMB-by-Miles-Chapman_-rev-by-Jason-Keller-Miles-Chapman-2009-01-06.pdf,Selectable,Yes,,7114
The-Blackcoat-s-Daughter-Osgood-Perkins-Film-6-1-2012.pdf,./sorted_output/Selectable/Joinable/The-Blackcoat-s-Daughter-Osgood-Perkins-Film-6-1-2012.pdf,Selectable,Yes,,5676
HELLBOUND-Blackman-2-2-12.pdf,./sorted_output/Selectable/Not_Joinable/HELLBOUND-Blackman-2-2-12.pdf,Selectable,No,,5463
LIGHTNING-ALLEY-Jud-Cremata.pdf,./sorted_output/Selectable/Not_Joinable/LIGHTNING-ALLEY-Jud-Cremata.pdf,Selectable,No,,5617
DARK-SPACES-SCRIPT-2013.pdf,./sorted_output/Selectable/Joinable/DARK-SPACES-SCRIPT-2013.pdf,Selectable,Yes,,5187
BLEACHED-by-Brandon-Violette.pdf,./sorted_output/Selectable/Not_Joinable/BLEACHED-by-Brandon-Violette.pdf,Selectable,No,,3741
Ocracoke-by-Ari-Eisner.pdf,./sorted_output/Selectable/Not_Joinable/Ocracoke-by-Ari-Eisner.pdf,Selectable,No,,2783
Outrage-Michael-Tabb.pdf,./sorted_output/Selectable/Not_Joinable/Outrage-Michael-Tabb.pdf,Selectable,No,,5147
The-Death-of-Colm-Canter-Revati-Dhomse-Hector-Lowe-Film.pdf,./sorted_output/Selectable/Not_Joinable/The-Death-of-Colm-Canter-Revati-Dhomse-Hector-Lowe-Film.pdf,Selectable,No,,5578
13-Ben-Magid.pdf,./sorted_output/Selectable/Not_Joinable/13-Ben-Magid.pdf,Selectable,No,,5047
Wolf-Town-10-30-12-pdf-pdf.pdf,./sorted_output/Selectable/Not_Joinable/Wolf-Town-10-30-12-pdf-pdf.pdf,Selectable,No,,3618
Cynara-Matthew-Stone.pdf,./sorted_output/Selectable/Not_Joinable/Cynara-Matthew-Stone.pdf,Selectable,No,,5040
dog-day-afternoon-1975-CLEAN-RETYPED.pdf,./sorted_output/Selectable/Joinable/dog-day-afternoon-1975-CLEAN-RETYPED.pdf,Selectable,Yes,,6155
Weird-Augustus-Schiff-Film-10-8-2021.pdf,./sorted_output/Selectable/Joinable/Weird-Augustus-Schiff-Film-10-8-2021.pdf,Selectable,Yes,,3797
Louie_Louie-Leward__Uhley.pdf,./sorted_output/Selectable/Not_Joinable/Louie_Louie-Leward__Uhley.pdf,Selectable,No,,5457
TRANSGRESSION__PERRY__04_MARCH_2013.pdf,./sorted_output/Selectable/Joinable/TRANSGRESSION__PERRY__04_MARCH_2013.pdf,Selectable,Yes,,5134
Challenger-1990-TVM.pdf,./sorted_output/OCR/Obscured_OCR/Challenger-1990-TVM.pdf,OCR,Unknown,Obscured_OCR,0
A-Hero-Massoumeh-Lahidji-Film-10-1-2020.pdf,./sorted_output/Selectable/Joinable/A-Hero-Massoumeh-Lahidji-Film-10-1-2020.pdf,Selectable,Yes,,8107
GROOMZILLA.PDF,./sorted_output/Selectable/Not_Joinable/GROOMZILLA.PDF,Selectable,No,,5116
Operation-Milk-and-Cookies-M.-Miller-Davis-Film.pdf,./sorted_output/Selectable/Not_Joinable/Operation-Milk-and-Cookies-M.-Miller-Davis-Film.pdf,Selectable,No,,4955
St.-Simmons-Greg-Wayne-Film.pdf,./sorted_output/Selectable/Not_Joinable/St.-Simmons-Greg-Wayne-Film.pdf,Selectable,No,,5708
CULT-OF-THIEVES-by-John-Petro.pdf,./sorted_output/Selectable/Not_Joinable/CULT-OF-THIEVES-by-John-Petro.pdf,Selectable,No,,5267
PULSE-Ben-Magid.pdf,./sorted_output/Selectable/Not_Joinable/PULSE-Ben-Magid.pdf,Selectable,No,,5714
full-cognition.pdf,./sorted_output/Selectable/Not_Joinable/full-cognition.pdf,Selectable,No,,4763
The-Fugitive-David-Giler-Walter-Hill-04-12-1991-Scan.pdf,./sorted_output/OCR/Obscured_OCR/The-Fugitive-David-Giler-Walter-Hill-04-12-1991-Scan.pdf,OCR,Unknown,Obscured_OCR,0
Rabbit-Season-Shanrah-Wakefield-Film.pdf,./sorted_output/Selectable/Not_Joinable/Rabbit-Season-Shanrah-Wakefield-Film.pdf,Selectable,No,,4227
Mimi-Scarlett-Bermingham-Film.pdf,./sorted_output/Selectable/Not_Joinable/Mimi-Scarlett-Bermingham-Film.pdf,Selectable,No,,4931
Film-Stars-Don-t-Die-in-Liverpool-Matt-Greenhalgh-Film.pdf,./sorted_output/Selectable/Not_Joinable/Film-Stars-Don-t-Die-in-Liverpool-Matt-Greenhalgh-Film.pdf,Selectable,No,,5169
Encounter-Joe-Barton-Michael-Pearce-Film-9-29-2020.pdf,./sorted_output/Selectable/Joinable/Encounter-Joe-Barton-Michael-Pearce-Film-9-29-2020.pdf,Selectable,Yes,,7675
Steps-Of-Coronodo-SCRIPT.pdf,./sorted_output/Selectable/Not_Joinable/Steps-Of-Coronodo-SCRIPT.pdf,Selectable,No,,5344
355_pitch_document.pdf,./sorted_output/OCR/Obscured_OCR/355_pitch_document.pdf,OCR,Unknown,Obscured_OCR,0
One-Night-Stand-6-30-11.pdf,./sorted_output/Selectable/Not_Joinable/One-Night-Stand-6-30-11.pdf,Selectable,No,,5279
Pay-The-Ghost-Dan-Kay-Film-9-1-2009.pdf,./sorted_output/Selectable/Joinable/Pay-The-Ghost-Dan-Kay-Film-9-1-2009.pdf,Selectable,Yes,,5713
A-Mighty-Heart-2007.pdf,./sorted_output/OCR/Clear_OCR/A-Mighty-Heart-2007.pdf,OCR,Unknown,Clear_OCR,411
Waitlist-Carly-Hallman-Film-6-1-2021.pdf,./sorted_output/Selectable/Joinable/Waitlist-Carly-Hallman-Film-6-1-2021.pdf,Selectable,Yes,,6043
HOUSE-DAD_Yorks.pdf,./sorted_output/Selectable/Not_Joinable/HOUSE-DAD_Yorks.pdf,Selectable,No,,3515
The-Residence.pdf,./sorted_output/Selectable/Not_Joinable/The-Residence.pdf,Selectable,No,,3726
The-Green-Knight-David-Lowery-Film.pdf,./sorted_output/Selectable/Not_Joinable/The-Green-Knight-David-Lowery-Film.pdf,Selectable,No,,6297
I_M-IN-LOVE-WITH-THE-DJ.pdf,./sorted_output/OCR/Obscured_OCR/I_M-IN-LOVE-WITH-THE-DJ.pdf,OCR,Unknown,Obscured_OCR,0
BORROWING-3-10-11-David-Schickler.pdf,./sorted_output/Selectable/Not_Joinable/BORROWING-3-10-11-David-Schickler.pdf,Selectable,No,,5393
Abstract-spec2.pdf,./sorted_output/Selectable/Not_Joinable/Abstract-spec2.pdf,Selectable,No,,6920
Candle-to-Water-Nick-Green-Film-5-4-2012.pdf,./sorted_output/Selectable/Joinable/Candle-to-Water-Nick-Green-Film-5-4-2012.pdf,Selectable,Yes,,7208
Hard-to-Get-Dan-Schoffer-Film.pdf,./sorted_output/Selectable/Not_Joinable/Hard-to-Get-Dan-Schoffer-Film.pdf,Selectable,No,,3342
City-Of-Shadows-Script3-0-1.pdf,./sorted_output/Selectable/Not_Joinable/City-Of-Shadows-Script3-0-1.pdf,Selectable,No,,4626
Cutter-2011-Nicholl-Winner.pdf,./sorted_output/Selectable/Joinable/Cutter-2011-Nicholl-Winner.pdf,Selectable,Yes,,5653
YOU__LL-BE-THE-DEATH-OF-ME-Mark-Hammer-1.pdf,./sorted_output/Selectable/Not_Joinable/YOU__LL-BE-THE-DEATH-OF-ME-Mark-Hammer-1.pdf,Selectable,No,,5132
ACTION-HERO__S-GUIDE-TO-SAVING-LIVES-Justin-Lutsky.pdf,./sorted_output/Selectable/Not_Joinable/ACTION-HERO__S-GUIDE-TO-SAVING-LIVES-Justin-Lutsky.pdf,Selectable,No,,3855
Sandpiper-Lindsay-Michel-Film.pdf,./sorted_output/Selectable/Not_Joinable/Sandpiper-Lindsay-Michel-Film.pdf,Selectable,No,,4988
SILVERFOXES.pdf,./sorted_output/Selectable/Not_Joinable/SILVERFOXES.pdf,Selectable,No,,4430
Rex.pdf,./sorted_output/Selectable/Not_Joinable/Rex.pdf,Selectable,No,,4026
Bethlehem-Larry-Brenner-Film.pdf,./sorted_output/Selectable/Not_Joinable/Bethlehem-Larry-Brenner-Film.pdf,Selectable,No,,7379
